Thu Jun 09 22:30:47 CEST 2022 | INFO | Player moved right
--
Thu Jun 09 22:31:15 CEST 2022 | INFO | ------GAME START------
Thu Jun 09 22:31:16 CEST 2022 | INFO | Player moved down
Thu Jun 09 22:31:17 CEST 2022 | INFO | Player moved left
Thu Jun 09 22:31:18 CEST 2022 | INFO | Player moved up
Thu Jun 09 22:31:18 CEST 2022 | INFO | Player moved right
Thu Jun 09 22:31:19 CEST 2022 | INFO | Player moved down
Thu Jun 09 22:31:19 CEST 2022 | INFO | Player moved left
Thu Jun 09 22:31:19 CEST 2022 | INFO | Player moved up
Thu Jun 09 22:31:20 CEST 2022 | INFO | Player moved right
Thu Jun 09 22:31:20 CEST 2022 | INFO | Player moved down
Thu Jun 09 22:31:21 CEST 2022 | INFO | Player moved left
Thu Jun 09 22:31:21 CEST 2022 | INFO | Player moved up
Thu Jun 09 22:31:23 CEST 2022 | INFO | Player moved up
Sun Jun 12 12:48:26 CEST 2022 | INFO | ------GAME START------
Sun Jun 12 12:48:28 CEST 2022 | INFO | Player moved down
Sun Jun 12 12:48:29 CEST 2022 | INFO | Player moved left
Sun Jun 12 12:48:31 CEST 2022 | INFO | Player moved down
Sun Jun 12 12:48:31 CEST 2022 | INFO | Player moved up
Sun Jun 12 12:48:31 CEST 2022 | INFO | Player moved up
Sun Jun 12 12:48:32 CEST 2022 | INFO | Player moved left
Sun Jun 12 12:48:32 CEST 2022 | INFO | Player moved left
Sun Jun 12 12:48:32 CEST 2022 | INFO | Player moved right
